BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
E63000111,Gateshead,E12000001,North East,113488,120465,115153,1.0529910638055666,0.013294333177704102,0.023408228778439837
E63005466,Maidstone,E12000008,South East,92950,104203,112516,1.0792762103914062,0.025970175860330857,0.05591788918137555
E63001069,Rochdale,E12000002,North West,101755,107658,112312,1.1070047856668426,0.016758903119751974,0.028305429562327775
E63001192,Oldham,E12000002,North West,92606,98075,111480,1.096988954456045,0.014331269408753651,0.025599715690277657
E63006549,Worthing,E12000008,South East,101445,108804,111307,1.0318821226422252,0.015407372024913426,0.02560995042912673
E63005204,Gillingham (Medway),E12000008,South East,106156,111700,111114,1.063993831919815,0.015469547070665494,0.02845504184594478
E63004442,Chelmsford,E12000006,East of England,102261,107743,110649,1.0430014602020443,0.017747055251124046,0.03512635735199084
E63001274,Salford,E12000002,North West,90753,97757,110528,1.0625379477838495,0.021738716535714138,0.037224290839126456
E63003011,Solihull,E12000005,West Midlands,102405,107139,110226,1.0513324496046077,0.015046979552479968,0.027814565172752572
E63001403,Birkenhead,E12000002,North West,105197,109904,109781,1.042830540037244,0.015295840143427171,0.02565969519481257
E63001325,St Helens (St. Helens),E12000002,North West,105373,104480,107037,1.1023817656740056,0.014413197193254465,0.02747291285628764
E63003490,Worcester,E12000005,West Midlands,97284,101647,106254,1.068411190374437,0.017282172702314424,0.031378619217505344
E63001650,Lincoln,E12000004,East Midlands,88985,97182,103811,1.1065823205031262,0.025217755450397072,0.04083837937020631
E63002828,West Bromwich,E12000005,West Midlands,87193,93599,103105,1.0882847105544524,0.01638119509900651,0.02617870988203135
E63001394,Wythenshawe,E12000002,North West,85263,93786,99898,1.0718318755143836,0.017756574965764996,0.033150951822337675
E63006602,Eastbourne,E12000008,South East,89649,96496,98779,1.0610856003366202,0.019856223437787337,0.03120263683080867
E63000971,Wakefield,E12000003,Yorkshire and The Humber,87055,90039,98599,1.068868289626449,0.02084834813476065,0.036017820511441534
E63003597,Bedford,E12000006,East of England,89831,94163,98259,1.0480959590078025,0.00424387209642316,0.021033278395851132
E63001029,Southport,E12000002,North West,95608,95756,97604,1.1006586754260754,0.012801829361632124,0.02267345122936966
E63000830,Preston (Preston),E12000002,North West,85734,95149,96277,1.0635122024031645,0.014502253415027498,0.04183862539630731
E63004449,Hemel Hempstead,E12000006,East of England,86266,89873,95561,1.0528417651436766,0.018576515321750187,0.036792252927807585
E63004113,Stevenage,E12000006,East of England,87706,92539,95484,1.0733783658739706,0.010509335770172334,0.01950468128179839
E63005227,Bath,E12000009,South West,85271,90233,95064,1.0792705619650167,0.014410582710495414,0.03352749494238694
E63000339,Darlington,E12000001,North East,91688,96279,94186,1.0593220338983051,0.014264307903790333,0.02896057007307741
E63002760,Royal Sutton Coldfield,E12000005,West Midlands,87067,92727,94120,1.0256410256410258,0.010731183279736843,0.01817253609629703
E63000900,Halifax,E12000003,Yorkshire and The Humber,87145,92290,94084,1.1130514882266018,0.03520452510420044,0.05031003129075354
E63004408,Harlow,E12000006,East of England,83838,87389,93331,1.086386453884768,0.0072640454237858565,0.014253750872617568
E63006439,Hastings,E12000008,South East,86550,91943,92802,1.1267605633802817,0.02530158876227188,0.04780573162890919
E63002833,Nuneaton,E12000005,West Midlands,83663,86679,89442,1.0507552303217937,0.016714784384661667,0.034567977901257964
E63004347,Aylesbury,E12000008,South East,80114,82793,87674,1.0391475211608223,0,0.0035092326031758
E63000242,Hartlepool,E12000001,North East,87286,87835,87553,1.0431879824744419,0.014518793034310645,0.034645373854360326
K08000001,Chester,E12000002,North West,84085,87685,87366,1.063264221158958,0.002740242971860307,0.02379968404084575
E63001229,Doncaster,E12000003,Yorkshire and The Humber,79790,88105,86536,1.0768266896389695,0.01730681367088675,0.03140527034928695
E63001128,Grimsby,E12000003,Yorkshire and The Humber,89356,90157,86149,1.0279313767191265,0.012801533056892767,0.026532855191029787
E63001362,Wallasey,E12000002,North West,84348,86488,85580,1.0234853330896463,0.015295840143427171,0.02565969519481257
E63005323,Weston-super-Mare,E12000009,South West,82622,82592,85361,1.0856921287320667,0.021939448932771072,0.03692816979657573
E63000311,Stockton-on-Tees,E12000001,North East,84198,87173,84830,1.069243411282498,0.019125177793994922,0.03182260988312103
E63004735,High Wycombe,E12000008,South East,72195,79773,84787,1.1110082399777799,0,0.0035092326031758
E63005776,Ashford (Ashford),E12000008,South East,72811,77920,84512,1.100233518950961,0.02365547300911257,0.05014716676150235
E63003268,Redditch,E12000005,West Midlands,78643,83825,83674,1.1581141690004422,0.014556421919109913,0.022356698643696236
E63001098,Bury (Bury),E12000002,North West,75334,77947,82461,1.1040452216922805,0.01496057760453579,0.024018869596031184
E63001177,Wigan,E12000002,North West,76400,80260,81908,1.1252316653428647,0.017822603387356303,0.030240698040907055
E63001112,Scunthorpe,E12000003,Yorkshire and The Humber,76585,82683,81775,1.069227221267139,0.02725732236511394,0.049035079924869926
E63003068,Rugby,E12000005,West Midlands,70315,76501,79968,1.0703955908811404,0.022600467669655643,0.044973645983647934
E63000133,Carlisle,E12000002,North West,75845,81444,79724,1.0522136192177884,0.03391662809801112,0.058760865025052435
E63000800,Burnley,E12000002,North West,74967,72615,79571,1.108278842956888,0.013747738491434187,0.02268209331933618
E63005145,Bracknell,E12000008,South East,76179,77846,78972,1.1102645041907042,0.014464844640014816,0.03420098844936146
E63001616,Chesterfield,E12000004,East Midlands,76654,79259,78863,1.0944985957376507,0.014939770154606614,0.028579282421503364
E63005577,Guildford,E12000008,South East,66777,73575,78049,1.0987861029719548,0.022312858035019006,0.04211995281455039
E63005212,Chatham,E12000008,South East,73206,75434,77564,1.1015743333180337,0.01649439234092607,0.030614377348000245
E63002444,Shrewsbury,E12000005,West Midlands,71980,76929,76818,1.0878118779799102,0.007096071293217694,0.04398503956350946
E63004441,St Albans,E12000006,East of England,66530,73368,76803,1.052933856609553,0.01897945209264506,0.043709792274283975
E63002256,Burton upon Trent,E12000005,West Midlands,63160,68525,76721,1.0646463145906062,0.02638295455168054,0.05398598654285796
E63000601,Harrogate,E12000003,Yorkshire and The Humber,72729,76075,76394,1.0602910602910602,0.02363918682753957,0.061888704402655675
E63001908,Newcastle-under-Lyme,E12000005,West Midlands,73944,75125,76213,1.0770177598030597,0.014537408833893305,0.030230271244775873
E63002644,Tamworth,E12000005,West Midlands,72966,73987,75991,1.0826097523254017,0.01406066491421098,0.02562605689998452
E63005413,Woking,E12000008,South East,66387,73998,75851,1.1054769171613275,0.0237054127538927,0.03364045091445924
E63002259,Stafford,E12000005,West Midlands,68329,74862,75310,1.094570928196147,0.024988121923271114,0.050042790109986364
E63001804,Crewe,E12000002,North West,68494,73323,74646,1.0352878981452927,0.0037898672674296593,0.0316128355545289
E63000087,South Shields,E12000001,North East,79512,76776,73376,1.0295460284776317,0.006235217689488853,0.011581543783285747
E63001160,Barnsley,E12000003,Yorkshire and The Humber,65619,69424,72593,1.0944539183995519,0.031074112759057478,0.04625532408365026
E63001350,Rotherham,E12000003,Yorkshire and The Humber,70235,72125,72519,1.1047553580634866,0.018051172196554693,0.02920238471476495
E63002734,Walsall,E12000005,West Midlands,61054,69595,71575,1.0502318194625888,0.017054030954329096,0.027149143513753547
E63006613,Gosport,E12000008,South East,73052,74954,70835,1.0477697472522773,0.015536816746549144,0.02172736162922086
E63002827,Lowestoft,E12000006,East of England,67091,69011,70814,1.0686297791498456,0,0.006119842710266285
E63005030,Dartford,E12000008,South East,58511,65048,70078,1.1037832169761859,0.017369192460424922,0.031056761664139565
E63006618,Bognor Regis,E12000008,South East,64328,66839,69379,1.0400158478605388,0.025947389980898582,0.04876042116172483
E63004922,Maidenhead,E12000008,South East,59384,64088,69341,1.0760401721664274,0.022523709259880616,0.04846055240892769
E63006916,Paignton,E12000009,South West,65358,65738,68621,1.1051894785961638,0.02775598092038564,0.04195391420377248
E63002876,Corby,E12000004,East Midlands,58627,59930,67667,1.119256813475852,0.010349609231906788,0.018794787335901657
E63005132,Rochester,E12000008,South East,60510,65661,67549,1.0564238697618984,0.015405159425543396,0.02834253978064783
E63001554,Ellesmere Port,E12000002,North West,65430,64126,66646,1.0486821560905129,0.0027402429718603074,0.023799684040845752
E63002317,Loughborough,E12000004,East Midlands,58606,63486,65626,1.066159520516367,0.03075303809258221,0.0535087725958711
E63002477,Cannock,E12000005,West Midlands,61495,64602,65509,1.1004348059477158,0.018168424894607044,0.02906570078808406
E63002862,Dudley (Dudley),E12000005,West Midlands,58957,62645,64905,1.1051973358927376,0.012442969741770437,0.024206936696065672
E63000970,Dewsbury,E12000003,Yorkshire and The Humber,56735,62016,64397,1.086801086801087,0.027044525770803827,0.047386432981577714
E63005125,Margate,E12000008,South East,57820,61403,63608,1.0257240802224201,0.03226730019845775,0.056785488917939095
E63001481,Runcorn,E12000002,North West,61978,63763,63232,1.1818335303055885,0.01739018275113303,0.03224936059101682
E63003016,Kettering,E12000004,East Midlands,52038,57273,62844,1.0525366132379033,0.010349609231906788,0.018794787335901657
