"LSOA21CD","BUA22CD"
"E01018969","E63006731"
"E01018974","E63006656"
"E01018978","E63007038"
"E01018677","E63001618"
"E01018725","E63999999"
"E01018752","E63006858"
"E01018754","E63006860"
"E01018756","E63006870"
"E01018759","E63999999"
"E01018760","E63999999"
"E01018764","E63006901"
"E01018765","E63006882"
"E01018766","E63006972"
"E01018845","E63006986"
"E01018684","E63001619"
"E01018849","E63007056"
"E01018850","E63999999"
"E01018854","E63006998"
"E01018861","E63007071"
"E01018864","E63007061"
"E01018873","E63007037"
"E01018692","E63001607"
"E01018648","E63999999"
"E01018649","E63001505"
"E01018651","E63001489"
"E01018698","E63001580"
"E01018707","E63001648"
"E01018708","E63001570"
"E01019085","E63000255"
"E01019086","E63000229"
"E01019090","E63999999"
"E01019091","E63000263"
"E01019092","E63000294"
"E01019094","E63000226"
"E01019098","E63000238"
"E01019102","E63000162"
"E01019107","E63999999"
"E01019128","E63999999"
"E01019130","E63000164"
"E01019131","E63999999"
"E01019132","E63000138"
"E01019133","E63000209"
"E01019351","E63000443"
"E01019356","E63000387"
"E01019373","E63000470"
"E01019379","E63000495"
"E01019380","E63999999"
"E01019381","E63000456"
"E01019384","E63000403"
"E01019386","E63000432"
"E01019393","E63000474"
"E01019394","E63999999"
"E01018987","E63007055"
"E01018988","E63007060"
"E01018992","E63007062"
"E01019060","E63006886"
"E01019250","E63000150"
"E01019304","E63000381"
"E01019146","E63000498"
"E01019066","E63006984"
"E01019067","E63006973"
"E01019068","E63006973"
"E01019002","E63007079"
"E01019003","E63007072"
"E01019308","E63999999"
"E01019309","E63000341"
"E01019203","E63000116"
"E01019005","E63007081"
"E01019310","E63000296"
"E01019006","E63007081"
"E01019007","E63007049"
"E01019312","E63000276"
"E01019313","E63000252"
"E01019258","E63000368"
"E01019314","E63000259"
"E01019259","E63000415"
"E01019315","E63999999"
"E01019316","E63999999"
"E01019081","E63000194"
"E01019317","E63000362"
"E01019265","E63000338"
"E01019272","E63000353"
"E01019293","E63999999"
"E01019294","E63000326"
"E01019083","E63999999"
"E01019031","E63006909"
"E01019212","E63000163"
"E01019319","E63000279"
"E01019320","E63999999"
"E01019321","E63000237"
"E01019324","E63999999"
"E01019325","E63999999"
"E01019178","E63000521"
"E01019187","E63000521"
"E01019224","E63000123"
"E01019225","E63999999"
"E01019226","E63999999"
"E01019229","E63999999"
"E01019239","E63999999"
"E01019241","E63000133"
"E01019338","E63000227"
"E01019339","E63999999"
"E01019340","E63999999"
"E01019343","E63000457"
"E01019405","E63999999"
"E01019419","E63001926"
"E01019422","E63001882"
"E01019429","E63001871"
"E01019430","E63001849"
"E01019448","E63001912"
"E01019504","E63001629"
"E01019467","E63001924"
"E01019480","E63001761"
"E01019496","E63001583"
"E01019607","E63999999"
"E01019611","E63001810"
"E01019613","E63001625"
"E01019614","E63001485"
"E01019615","E63001485"
"E01019618","E63001615"
"E01019620","E63001766"
"E01019711","E63001470"
"E01019621","E63001739"
"E01019713","E63001470"
"E01019736","E63001465"
"E01019741","E63001526"
"E01019742","E63999999"
"E01019764","E63001491"
"E01019562","E63001616"
"E01019513","E63001797"
"E01019629","E63999999"
"E01019520","E63001733"
"E01019552","E63001588"
"E01019566","E63001588"
"E01019630","E63001713"
"E01019671","E63001983"
"E01019634","E63001823"
"E01019770","E63001533"
"E01019771","E63001595"
"E01019772","E63001616"
"E01019604","E63001549"
"E01019605","E63001820"
"E01019775","E63001711"
"E01019701","E63001987"
"E01019704","E63001987"
"E01019656","E63002068"
"E01019798","E63001616"
"E01019801","E63001496"
"E01019816","E63001512"
"E01019819","E63001771"
"E01019822","E63001609"
"E01019839","E63002078"
"E01019843","E63002244"
"E01019850","E63002372"
"E01020082","E63006698"
"E01020087","E63006132"
"E01020179","E63007006"
"E01019862","E63002300"
"E01020097","E63999999"
"E01020099","E63005667"
"E01020100","E63005667"
"E01020108","E63005731"
"E01020109","E63005852"
