BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
E63006439,Hastings,E12000008,South East,86550,91943,92802,1.1267605633802817,0.012294678263528433,0.02182523615009313
E63002833,Nuneaton,E12000005,West Midlands,83663,86679,89442,1.0507552303217937,0.004448099800964288,0.009132861246656854
E63004347,Aylesbury,E12000008,South East,80114,82793,87674,1.0391475211608223,0,0.0018573596097536495
E63000242,Hartlepool,E12000001,North East,87286,87835,87553,1.0431879824744419,0.004642063078997281,0.01015108356518318
K08000001,Chester,E12000002,North West,84085,87685,87366,1.063264221158958,0.0013386760747776583,0.010161360003849203
E63001229,Doncaster,E12000003,Yorkshire and The Humber,79790,88105,86536,1.0768266896389695,0.00839395724778458,0.014525785411014689
E63001128,Grimsby,E12000003,Yorkshire and The Humber,89356,90157,86149,1.0279313767191265,0.005153863957969815,0.010572502288929716
E63001362,Wallasey,E12000002,North West,84348,86488,85580,1.0234853330896463,0.004893777331483672,0.009268565915386448
E63005323,Weston-super-Mare,E12000009,South West,82622,82592,85361,1.0856921287320667,0.009620351279812448,0.017313719987432395
E63000311,Stockton-on-Tees,E12000001,North East,84198,87173,84830,1.069243411282498,0.005516270289342337,0.008682725345593287
E63004735,High Wycombe,E12000008,South East,72195,79773,84787,1.1110082399777799,0,0.0018573596097536495
E63005776,Ashford (Ashford),E12000008,South East,72811,77920,84512,1.100233518950961,0.0106575779463637,0.023603272627334467
E63003268,Redditch,E12000005,West Midlands,78643,83825,83674,1.1581141690004422,0.004938127942179059,0.008095090333074628
E63001098,Bury (Bury),E12000002,North West,75334,77947,82461,1.1040452216922805,0.004196934798015591,0.007375088589652728
E63001177,Wigan,E12000002,North West,76400,80260,81908,1.1252316653428647,0.005938656005839126,0.009817029676691605
E63001112,Scunthorpe,E12000003,Yorkshire and The Humber,76585,82683,81775,1.069227221267139,0.01570425391185923,0.027135980020939348
E63003068,Rugby,E12000005,West Midlands,70315,76501,79968,1.0703955908811404,0.00925957070680688,0.019359123814978313
E63000133,Carlisle,E12000002,North West,75845,81444,79724,1.0522136192177884,0.01338868099526434,0.025713631796863676
E63000800,Burnley,E12000002,North West,74967,72615,79571,1.108278842956888,0.004098635277300038,0.006499743137298698
E63005145,Bracknell,E12000008,South East,76179,77846,78972,1.1102645041907042,0.004946527182595741,0.010892352785917894
